customer_id,age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference
24,53,186355,11.4,15,2.8,9,7,26,17,117393,42222,8,8,5,4,5,9,8,4,5,8,2,Other,Tier 2,Hybrid
25,33,162456,4.4,15,3.3,3,3,7,12,40556,56586,2,7,7,6,9,8,7,1,4,7,7,Other,Tier 3,Hybrid
26,19,219429,6.0,6,1.9,7,7,17,17,58312,128486,4,5,7,8,1,7,6,7,3,8,3,Other,Tier 3,Hybrid
27,19,226580,7.3,11,0.4,7,3,27,14,48139,13681,5,7,6,4,8,6,6,7,5,7,5,Male,Tier 2,Hybrid
28,19,47307,12.0,6,1.5,2,1,24,0,65323,52761,1,10,3,4,3,8,2,10,4,8,5,Female,Tier 1,Online
29,56,80048,9.4,3,5.8,2,10,0,9,98884,104480,4,2,10,4,2,5,10,2,10,1,6,Other,Tier 2,Hybrid
30,60,214285,1.3,11,2.2,7,8,3,13,95445,121017,3,7,3,9,5,10,9,8,8,7,10,Female,Tier 2,Store
31,33,65436,3.7,8,1.6,8,10,19,12,88684,8023,8,6,3,8,4,6,5,6,5,10,5,Other,Tier 1,Hybrid
32,51,120168,1.5,12,2.6,9,4,22,15,129165,117986,1,2,5,4,7,4,5,10,6,8,9,Other,Tier 2,Hybrid
33,45,193429,4.5,8,1.8,5,4,3,6,83219,31840,9,3,4,4,8,5,10,9,10,5,2,Male,Tier 2,Hybrid
34,32,209205,2.6,1,4.3,3,5,1,1,145559,77081,3,8,2,1,10,5,8,8,8,6,3,Male,Tier 2,Hybrid
35,48,79814,10.0,7,3.1,10,1,4,4,148045,80148,2,4,2,9,7,10,10,10,4,9,7,Female,Tier 2,Hybrid
36,37,244830,4.0,10,0.5,2,4,20,6,69875,21782,3,4,3,9,2,3,1,7,8,10,8,Female,Tier 1,Hybrid
37,32,171049,8.6,12,5.2,2,4,29,8,52357,111947,2,9,4,3,5,3,2,1,3,5,10,Other,Tier 3,Hybrid
38,36,250242,1.9,12,2.0,7,5,16,17,129945,115255,2,10,1,7,6,10,5,1,2,4,10,Other,Tier 1,Hybrid
39,66,161301,7.1,13,4.6,8,9,20,14,73417,48076,10,7,8,2,8,6,7,6,6,2,3,Female,Tier 2,Hybrid
40,62,279768,3.8,7,4.9,9,1,14,2,82948,66664,6,2,7,9,1,9,8,7,1,4,9,Female,Tier 3,Hybrid
41,66,281353,7.7,13,0.5,5,9,4,9,115349,127564,2,1,10,4,3,5,9,1,9,7,2,Male,Tier 1,Hybrid
42,47,81586,7.9,3,3.1,5,9,22,8,109418,126984,8,4,8,9,3,7,4,10,9,3,2,Female,Tier 2,Hybrid
43,39,286200,3.6,1,1.8,5,10,18,15,39453,117559,9,8,6,6,9,9,7,8,6,4,4,Other,Tier 2,Hybrid
44,32,235364,1.0,12,2.9,7,7,21,20,40373,130347,1,3,9,10,6,2,8,2,9,8,1,Other,Tier 1,Hybrid
45,44,100929,1.4,13,5.8,6,10,22,12,21554,86631,9,7,6,8,9,1,10,2,4,5,4,Other,Tier 1,Hybrid
46,45,71612,9.2,12,5.3,8,3,22,9,8088,12556,6,1,5,6,6,7,3,4,9,7,10,Other,Tier 1,Hybrid
47,28,111786,1.4,14,2.4,4,8,29,18,38017,61366,8,5,8,5,1,8,5,9,3,2,8,Female,Tier 3,Hybrid
48,37,242460,8.4,8,5.1,4,7,27,15,28458,62682,7,10,6,10,5,5,1,7,5,1,10,Other,Tier 3,Hybrid
49,21,280428,10.1,15,1.9,4,10,25,11,57910,50341,10,5,3,2,1,5,8,1,10,6,3,Male,Tier 2,Hybrid
50,38,237843,2.5,3,4.8,6,9,16,8,43634,67863,8,5,6,2,8,2,3,4,7,9,6,Male,Tier 2,Hybrid
51,18,158652,6.7,8,2.3,5,10,12,20,97879,28902,4,8,1,10,9,6,10,4,2,8,5,Other,Tier 2,Hybrid
52,25,93283,1.0,1,2.0,8,2,3,7,141414,36063,7,8,6,9,7,10,3,7,2,8,10,Female,Tier 2,Hybrid
53,20,214264,3.0,8,5.7,6,2,21,11,143228,94524,1,7,5,4,2,8,2,4,10,1,1,Female,Tier 1,Hybrid
54,26,127586,1.3,13,3.4,10,4,26,7,86629,39180,10,1,5,3,3,9,5,3,2,1,3,Male,Tier 2,Hybrid
55,68,144744,7.3,1,1.2,1,3,23,13,138410,30292,2,8,8,6,9,10,2,8,9,4,10,Male,Tier 3,Hybrid
56,68,293390,4.0,11,5.8,1,8,27,12,112245,28801,8,8,2,2,6,10,3,2,3,5,10,Other,Tier 3,Hybrid
57,53,190490,4.9,10,3.3,8,9,19,13,26499,30492,9,4,7,8,4,7,6,8,7,7,2,Female,Tier 2,Hybrid
58,38,153635,4.8,3,4.2,8,2,2,2,24939,113713,2,6,3,9,1,10,9,9,6,2,7,Female,Tier 3,Hybrid
59,66,241740,10.5,12,0.5,5,10,9,11,27658,133515,4,3,8,4,2,6,9,6,2,5,10,Male,Tier 2,Hybrid
60,53,33764,7.5,11,5.0,5,1,5,8,81498,89582,6,1,3,3,10,7,2,3,1,2,9,Male,Tier 2,Hybrid
61,44,257841,4.4,6,2.0,6,10,19,2,14291,41284,3,10,1,2,5,8,7,8,10,8,7,Female,Tier 1,Online
62,66,288617,1.8,7,0.8,10,8,16,9,12405,58307,7,10,1,1,4,5,4,3,5,5,6,Male,Tier 1,Hybrid
63,49,245787,2.5,7,3.3,4,9,17,11,19394,104589,1,7,1,8,2,6,10,7,10,7,7,Female,Tier 1,Hybrid
64,43,30934,11.6,3,4.8,10,8,26,11,23602,114981,2,4,7,10,7,9,2,7,5,6,4,Female,Tier 1,Hybrid
65,22,287640,7.8,9,3.2,6,6,23,20,39216,62436,2,3,5,4,3,10,3,2,3,8,8,Other,Tier 3,Hybrid
66,46,189454,10.4,11,2.0,8,2,15,14,79882,72504,10,1,6,9,2,5,8,8,1,1,6,Female,Tier 1,Hybrid
67,59,67341,7.6,9,2.4,10,9,30,1,118394,49845,6,10,8,9,3,1,8,2,6,2,9,Other,Tier 1,Online
68,20,149889,8.6,8,3.2,10,3,11,11,74658,102058,7,6,10,1,6,2,6,2,9,7,5,Female,Tier 3,Hybrid
69,60,98838,4.3,10,4.0,6,5,30,20,103249,34303,10,2,5,9,7,6,3,9,2,7,9,Female,Tier 1,Hybrid
70,41,181934,2.6,4,2.2,8,4,7,4,41117,20728,5,2,9,9,9,1,6,10,3,10,7,Male,Tier 1,Hybrid
71,29,106790,8.8,1,2.6,4,8,19,9,118183,61842,9,4,5,8,4,6,10,8,8,5,7,Other,Tier 3,Hybrid
72,44,104965,9.9,13,3.7,5,1,20,15,97811,145869,2,9,2,5,2,3,5,8,9,3,7,Male,Tier 1,Hybrid
73,70,256520,10.7,15,0.4,1,7,16,11,62307,101731,2,6,4,1,6,2,6,3,3,1,5,Female,Tier 3,Hybrid
74,26,265948,5.7,1,5.5,1,5,6,4,144365,138852,7,2,5,4,5,2,1,4,7,10,8,Male,Tier 1,Hybrid
75,49,28616,7.8,10,1.6,3,5,13,0,92988,63562,10,7,3,2,9,6,2,9,9,9,9,Other,Tier 1,Hybrid
76,42,266486,1.0,7,5.9,5,1,11,2,90887,63709,2,10,6,3,1,6,9,6,3,8,8,Other,Tier 1,Hybrid
77,69,90701,1.2,13,5.7,1,5,6,1,52789,11485,6,5,9,7,9,8,5,1,4,5,6,Male,Tier 3,Hybrid
78,39,163244,1.9,6,2.7,7,8,28,12,89376,49473,8,8,6,9,5,2,7,2,7,10,3,Other,Tier 2,Hybrid
79,38,73790,1.4,11,1.9,8,10,22,13,44184,116867,6,8,1,6,10,7,5,1,2,7,6,Other,Tier 3,Hybrid
80,61,103879,11.5,3,5.1,8,1,4,2,62364,96530,6,7,10,1,10,3,8,6,6,8,2,Other,Tier 1,Hybrid
81,51,212387,5.1,11,1.8,2,1,23,5,131321,136223,7,9,2,5,5,8,4,10,5,8,4,Male,Tier 1,Online
82,22,257000,2.5,12,2.8,2,6,21,11,17523,144678,9,5,5,3,3,6,9,4,2,4,3,Male,Tier 2,Hybrid
83,19,209213,6.9,6,2.9,9,3,19,2,17735,81578,7,8,9,7,7,10,2,3,6,2,8,Female,Tier 3,Online
84,51,200624,2.0,14,4.7,10,3,24,4,113908,132322,1,2,9,3,5,3,3,6,4,6,9,Female,Tier 1,Online
85,34,122918,7.8,9,1.8,5,10,17,2,132246,44706,10,10,3,3,10,10,6,10,1,1,2,Male,Tier 3,Online
86,67,158755,8.0,13,3.5,10,1,15,20,143519,76435,5,8,4,7,5,8,2,1,3,8,7,Female,Tier 2,Hybrid
87,31,198358,7.5,6,5.2,6,6,12,4,97634,135498,9,2,6,4,8,2,5,8,4,3,2,Male,Tier 2,Hybrid
88,42,239223,3.4,14,5.4,6,10,23,10,50263,42270,8,9,8,8,5,8,1,2,7,9,8,Male,Tier 1,Hybrid
89,55,205018,1.1,5,3.1,8,5,17,0,28679,113465,3,5,6,7,6,1,7,1,10,9,4,Female,Tier 3,Online
90,36,58551,4.9,8,4.6,5,10,21,19,31645,34228,2,7,6,6,9,6,3,4,10,9,7,Other,Tier 1,Hybrid
91,20,40402,2.1,6,4.9,9,8,4,19,135636,37142,6,10,6,3,7,10,5,10,6,9,9,Other,Tier 2,Store
92,63,177176,6.0,1,2.3,2,7,18,9,7485,124910,5,10,10,4,1,10,8,3,9,10,7,Male,Tier 3,Hybrid
93,33,36552,7.1,12,0.8,1,8,10,13,40196,108755,4,7,9,10,8,1,3,9,4,9,6,Other,Tier 2,Hybrid
94,51,217564,4.1,3,2.9,9,6,17,11,69800,127424,4,4,5,9,5,4,5,5,4,8,6,Female,Tier 2,Hybrid
95,53,163370,3.8,10,4.1,7,7,26,11,38897,76640,1,5,2,6,8,5,8,4,4,9,5,Other,Tier 3,Hybrid
96,35,91970,1.8,12,3.6,4,1,21,16,59658,61536,1,2,7,6,8,2,3,1,9,3,7,Other,Tier 2,Hybrid
97,48,124572,9.2,5,2.1,1,2,20,18,61375,140786,1,3,7,3,1,7,8,3,5,1,1,Female,Tier 3,Hybrid
98,56,76256,11.2,6,1.9,9,9,15,4,132676,123188,5,4,2,6,3,8,5,3,1,6,5,Other,Tier 3,Hybrid
99,66,121272,2.5,14,3.9,7,7,16,10,23237,105576,2,3,3,8,6,4,1,5,7,4,8,Female,Tier 2,Hybrid
100,37,25995,3.5,6,4.2,1,2,14,9,42368,106777,9,5,2,5,6,10,4,4,3,8,3,Female,Tier 3,Hybrid
101,56,215887,5.3,9,5.5,9,4,24,7,21961,138258,8,9,6,2,10,2,1,9,9,4,10,Other,Tier 1,Hybrid
102,28,192028,10.3,8,0.9,4,10,15,2,134291,117280,1,8,3,9,7,8,10,1,9,8,5,Other,Tier 1,Hybrid
103,43,153408,9.9,12,1.5,2,1,13,11,17214,142362,1,2,8,1,5,7,3,3,7,6,7,Female,Tier 2,Hybrid
104,42,62074,8.4,11,5.3,3,6,3,5,141339,103537,9,3,4,1,1,5,8,9,7,9,7,Male,Tier 1,Hybrid
105,47,201487,2.3,4,5.6,2,1,25,13,4601,63589,4,2,2,10,1,8,10,1,4,1,7,Female,Tier 1,Hybrid
106,52,133911,9.2,13,0.5,9,5,7,18,84098,84560,4,5,3,9,4,7,5,5,1,9,10,Other,Tier 1,Hybrid
107,58,243976,6.9,1,5.8,7,9,10,13,107522,39616,5,7,3,9,8,4,4,5,3,8,1,Other,Tier 2,Hybrid
108,44,297868,2.0,4,1.7,6,2,29,14,97775,24738,9,4,1,5,7,10,10,1,2,4,10,Other,Tier 3,Hybrid
109,53,133779,6.0,14,5.5,5,1,6,6,31253,126046,4,10,4,7,4,9,6,5,7,8,9,Other,Tier 2,Hybrid
110,37,157133,4.6,15,3.1,2,8,24,10,53748,97678,6,7,1,10,4,3,1,5,9,10,10,Other,Tier 2,Hybrid
111,36,99907,2.8,4,2.4,4,8,17,20,88990,67956,8,8,8,3,6,3,3,9,8,3,9,Other,Tier 1,Hybrid
112,51,37733,10.1,2,5.7,1,1,13,4,61168,18317,3,1,4,9,8,6,1,10,10,8,8,Male,Tier 1,Hybrid
113,52,235659,0.6,9,4.4,9,5,0,16,113372,47493,2,2,9,3,4,4,10,9,5,6,5,Female,Tier 1,Store
114,41,232875,5.8,4,5.9,4,5,21,2,8805,25010,7,7,7,9,8,1,1,3,2,8,7,Other,Tier 2,Online
115,54,69997,10.8,15,0.4,4,10,15,8,12705,19989,5,9,10,1,3,6,1,4,10,3,7,Male,Tier 2,Hybrid
116,28,146076,7.0,14,2.5,9,6,12,4,21059,131779,6,1,2,7,4,2,6,10,10,10,7,Female,Tier 1,Hybrid
117,58,163302,9.5,8,3.0,6,9,30,12,113706,49190,10,7,2,10,5,4,2,2,5,3,7,Other,Tier 3,Hybrid
118,27,224274,4.1,2,0.7,5,8,11,8,27299,35235,2,3,7,8,9,9,9,7,2,1,2,Female,Tier 3,Hybrid
119,23,190094,10.4,1,1.9,7,2,23,17,64133,137104,3,7,3,3,5,5,5,8,3,2,3,Female,Tier 2,Hybrid
120,44,177156,6.1,2,2.3,4,8,19,19,51761,120525,2,3,5,1,7,6,10,7,6,8,6,Female,Tier 3,Hybrid
121,56,91368,4.0,10,5.7,4,8,10,5,104896,84160,5,8,10,4,6,7,5,7,6,2,10,Male,Tier 3,Hybrid
122,52,114333,8.3,9,0.4,8,4,14,9,18629,107754,8,3,5,4,5,3,7,7,2,8,10,Female,Tier 3,Hybrid
123,43,285610,11.1,14,4.2,9,1,25,11,141246,22777,2,4,6,3,10,1,10,7,6,7,2,Male,Tier 1,Hybrid
124,34,136392,6.4,9,3.4,10,4,14,11,103033,121889,10,9,3,6,1,8,2,5,7,2,2,Other,Tier 1,Hybrid
125,40,183520,4.4,13,1.4,8,6,15,3,115362,119106,6,2,5,1,2,1,6,2,3,4,9,Male,Tier 3,Hybrid
126,28,193533,6.9,8,1.5,7,3,5,20,113781,104199,1,10,4,8,10,7,7,1,4,4,5,Other,Tier 1,Store
127,54,73347,9.7,9,1.3,6,4,14,3,69274,128815,9,6,10,7,10,7,10,2,6,6,8,Other,Tier 1,Hybrid
128,70,175946,11.1,10,0.7,3,6,3,7,80553,31157,3,6,3,9,7,7,10,3,10,7,7,Male,Tier 2,Hybrid
129,58,110824,6.9,8,1.9,3,6,26,14,14553,94619,1,8,3,4,7,9,9,8,7,8,7,Other,Tier 2,Hybrid
130,49,107688,1.5,1,4.8,4,5,1,8,59441,141430,5,3,8,10,8,9,9,2,10,2,5,Other,Tier 2,Hybrid
131,52,41815,9.2,8,3.4,7,2,23,20,65388,78542,1,8,5,6,2,8,2,4,4,10,6,Other,Tier 3,Hybrid
132,58,244482,2.4,3,4.8,4,1,18,11,140034,74184,10,9,3,6,5,5,10,5,9,2,3,Female,Tier 1,Hybrid
133,35,86525,8.6,3,1.6,6,4,24,12,128808,37769,10,5,7,7,8,2,2,7,9,5,6,Female,Tier 2,Hybrid
134,38,21296,10.5,14,4.4,8,6,27,2,140596,104758,4,7,4,8,5,6,5,6,9,10,3,Other,Tier 2,Online
135,68,200218,10.8,13,0.5,2,8,0,3,41914,116180,8,1,7,4,3,5,3,5,2,6,5,Male,Tier 2,Hybrid
136,60,106782,1.1,11,2.0,4,7,20,2,25451,784,4,8,2,3,10,4,9,8,1,1,6,Male,Tier 2,Online
137,62,89297,6.0,4,2.4,2,2,10,11,78947,36447,7,3,3,2,9,10,1,10,3,8,6,Other,Tier 1,Hybrid
138,58,99363,11.1,10,4.2,4,2,28,3,37203,32784,10,7,6,7,6,3,4,5,2,4,9,Other,Tier 3,Online
139,64,169380,9.5,12,0.4,5,4,16,19,134068,49952,7,5,1,4,8,7,2,4,8,10,2,Other,Tier 1,Hybrid
140,41,185922,2.0,14,5.1,7,6,17,5,123973,19634,1,10,2,1,5,4,1,1,7,9,5,Other,Tier 3,Online
141,50,237806,5.4,7,0.7,9,9,19,4,73236,22414,5,2,9,4,3,9,6,7,10,2,5,Other,Tier 2,Online
142,64,145114,1.2,2,5.6,2,8,19,19,14925,81578,3,2,1,3,1,3,8,6,9,9,5,Male,Tier 2,Hybrid
143,26,160909,8.9,2,4.7,1,6,25,13,71798,137825,2,5,10,2,8,8,9,6,1,8,10,Male,Tier 2,Hybrid
144,28,153754,9.4,15,3.5,2,4,23,16,1173,12044,1,4,1,8,6,7,3,3,1,9,7,Male,Tier 2,Hybrid
145,33,238238,11.0,6,1.8,2,10,11,3,132107,14307,3,4,9,1,7,2,8,5,5,6,2,Other,Tier 2,Hybrid
146,18,213419,2.8,10,4.8,10,4,14,11,129831,51728,9,4,3,1,7,1,4,9,6,1,6,Male,Tier 3,Hybrid
147,42,181224,1.7,9,5.9,7,8,30,1,37822,73854,2,1,4,9,7,6,8,2,10,2,9,Male,Tier 3,Online
148,70,226753,1.4,10,0.6,3,4,9,8,83077,103510,6,6,8,5,4,2,4,3,10,2,3,Male,Tier 1,Hybrid
149,46,264347,4.1,2,3.3,4,8,9,14,69970,31934,2,3,5,10,1,4,6,3,2,4,6,Female,Tier 3,Hybrid
150,21,176678,3.5,3,0.4,7,8,17,17,65997,25331,8,2,3,2,1,1,4,3,4,7,6,Other,Tier 3,Hybrid
151,59,64060,7.2,5,5.5,2,1,2,6,116742,34261,2,6,2,1,8,1,3,10,7,7,8,Male,Tier 2,Hybrid
152,61,243694,2.5,4,5.5,5,5,14,4,9583,64931,5,8,7,9,8,1,2,5,7,3,7,Male,Tier 3,Hybrid
153,69,295678,3.4,13,3.4,1,7,25,11,126246,143242,8,6,10,9,6,7,5,3,1,6,10,Male,Tier 1,Hybrid
154,69,167289,1.2,8,3.3,10,4,5,3,65474,63716,5,9,1,4,10,7,6,3,3,4,10,Female,Tier 3,Hybrid
155,62,208105,11.0,1,4.3,6,10,18,4,148115,49844,8,9,5,3,8,1,2,1,4,10,4,Male,Tier 3,Online
156,48,20358,4.3,10,1.4,3,6,22,5,85326,16112,1,3,10,3,2,9,6,2,6,7,10,Male,Tier 2,Online
157,37,189136,2.1,3,4.4,7,8,20,10,46166,147818,10,6,4,10,3,7,5,5,3,3,1,Other,Tier 3,Hybrid
158,43,36977,2.6,6,5.5,10,4,20,18,27791,130571,3,6,2,4,6,6,3,2,6,8,1,Female,Tier 1,Hybrid
159,33,55543,4.5,13,0.8,1,1,12,14,110509,44104,7,8,7,6,9,7,2,8,10,4,3,Female,Tier 1,Hybrid
160,69,37517,3.9,6,1.7,2,2,10,5,98924,42680,2,9,2,6,10,10,8,1,7,3,10,Female,Tier 1,Hybrid
161,21,73088,4.3,4,2.6,9,9,8,9,78461,62771,2,1,7,10,9,8,3,1,6,1,7,Male,Tier 2,Hybrid
162,70,271830,2.8,1,1.4,5,2,15,3,81332,104693,8,8,5,2,9,7,3,6,7,6,3,Female,Tier 1,Hybrid
163,34,250550,5.8,4,5.1,10,1,4,3,22967,90622,9,7,10,4,9,1,7,9,7,9,8,Other,Tier 1,Hybrid
164,48,176684,1.4,15,5.2,1,9,18,16,39152,32031,8,3,3,4,4,3,1,7,2,7,4,Other,Tier 1,Hybrid
165,56,155206,4.2,12,5.5,2,2,12,17,104664,145217,6,5,9,8,1,10,10,9,7,2,7,Male,Tier 1,Hybrid
166,54,72535,11.1,10,4.7,5,9,28,11,108212,69741,7,8,10,10,8,1,3,5,7,3,10,Other,Tier 3,Hybrid
167,62,230616,0.9,15,5.3,4,1,23,15,70907,98133,1,6,5,5,5,8,2,4,3,5,8,Female,Tier 2,Hybrid
168,64,238508,7.5,2,1.3,4,7,23,15,135897,98518,1,9,3,2,5,9,7,3,9,10,1,Male,Tier 1,Hybrid
169,30,50213,3.4,8,0.5,6,4,8,11,122192,132915,7,2,1,4,6,8,10,8,3,8,10,Other,Tier 2,Hybrid
170,40,105728,10.1,5,4.5,2,5,0,12,13515,43205,10,4,4,4,4,5,7,9,1,1,8,Male,Tier 3,Hybrid
171,29,24437,3.1,10,4.9,5,5,13,12,91912,120823,5,4,8,5,9,10,7,10,2,1,9,Other,Tier 2,Hybrid
172,53,168204,3.9,2,3.0,6,5,20,10,73083,68958,5,4,3,9,4,1,10,7,6,3,1,Other,Tier 2,Hybrid
173,36,156014,10.9,7,2.5,1,10,22,18,50285,90459,4,9,8,6,9,5,3,9,3,5,2,Female,Tier 1,Hybrid
174,65,155608,8.8,9,4.6,3,6,20,2,58762,93635,4,5,7,6,6,5,10,5,8,2,8,Male,Tier 3,Online
175,55,57337,5.9,4,3.1,7,9,9,13,14672,40025,3,4,6,7,10,8,3,6,3,2,8,Female,Tier 3,Hybrid
176,29,184319,7.8,1,2.8,4,3,18,5,128839,23579,3,10,7,7,7,7,8,7,1,1,9,Male,Tier 3,Online
177,41,27380,10.8,13,5.0,4,1,21,0,65727,59814,6,5,3,2,7,9,10,5,3,2,1,Female,Tier 2,Online
178,47,292780,7.4,6,2.7,3,6,28,15,94675,49894,3,7,1,4,4,3,4,1,10,9,3,Male,Tier 2,Hybrid
179,63,39589,4.8,11,1.7,9,10,1,19,13072,28841,1,1,2,7,8,7,2,9,5,8,3,Male,Tier 3,Store
180,61,24878,4.0,11,0.8,9,5,19,19,36456,110292,2,9,10,2,5,2,2,8,4,10,4,Female,Tier 3,Hybrid
181,30,207654,8.6,5,1.1,9,8,29,6,126503,87165,4,1,1,2,2,10,8,3,2,9,2,Other,Tier 3,Hybrid
182,24,154161,7.9,8,5.9,5,5,14,1,26664,46297,1,5,6,6,7,2,2,1,1,3,3,Female,Tier 2,Hybrid
183,46,160671,10.6,2,2.4,6,3,3,12,105423,120178,5,7,8,7,3,2,3,1,3,2,7,Other,Tier 2,Hybrid
184,69,249723,2.6,7,4.7,10,1,27,4,127136,128458,2,7,8,1,2,5,6,1,9,10,10,Male,Tier 3,Online
185,39,292157,6.5,12,3.8,7,4,15,11,101393,39468,9,10,1,1,3,9,8,8,3,2,8,Female,Tier 1,Hybrid
186,39,165834,1.1,4,3.4,7,7,26,7,21164,120848,8,10,8,2,8,8,6,2,8,1,2,Female,Tier 2,Hybrid
187,20,20088,10.0,13,3.7,10,5,28,16,147912,54724,8,6,6,1,4,8,6,9,10,10,8,Other,Tier 3,Hybrid
188,41,257257,1.8,13,4.0,1,6,11,20,77041,144073,9,6,2,1,3,8,3,7,2,5,10,Male,Tier 1,Hybrid
189,25,225990,3.0,14,4.7,6,2,24,13,12689,32801,8,8,10,9,3,8,1,9,1,9,7,Other,Tier 2,Hybrid
190,50,112905,8.5,3,4.4,3,2,12,19,84869,132649,7,7,10,4,5,7,6,5,8,3,3,Female,Tier 3,Hybrid
191,62,288589,3.9,12,3.4,6,9,20,6,53161,55474,10,5,6,3,3,9,9,6,2,6,9,Female,Tier 3,Hybrid
192,54,238878,8.3,15,5.1,5,7,25,0,137530,28410,1,7,3,1,1,4,5,3,5,5,3,Male,Tier 3,Online
193,68,174738,2.8,9,0.4,8,2,19,17,59300,147633,7,4,9,5,1,7,7,7,6,9,1,Male,Tier 3,Hybrid
194,34,126476,7.6,13,5.2,8,4,29,20,96901,143791,10,4,4,5,8,3,2,3,3,9,2,Female,Tier 1,Hybrid
195,45,166335,6.9,3,1.1,5,1,10,14,41081,10970,3,6,10,1,10,5,8,10,9,6,2,Other,Tier 2,Hybrid
196,51,135323,11.5,9,0.6,9,3,13,17,141280,106253,2,6,4,4,6,6,6,5,4,10,9,Female,Tier 3,Hybrid
197,70,24615,1.8,6,2.8,10,10,7,1,84631,100474,2,7,5,9,5,1,9,6,9,9,8,Female,Tier 1,Hybrid
198,36,120931,4.2,2,5.7,3,9,17,0,17663,55755,4,7,2,4,9,7,2,3,1,8,6,Male,Tier 1,Online
199,22,48452,2.5,5,3.4,10,4,29,8,107358,102220,8,7,7,6,1,7,2,9,1,10,2,Other,Tier 3,Hybrid
200,20,58057,4.6,9,0.8,5,10,2,9,115234,100485,7,1,8,3,9,4,3,7,9,5,3,Female,Tier 3,Hybrid
201,68,215627,11.5,1,3.4,9,3,3,1,1818,103806,9,9,2,5,4,6,4,7,9,3,3,Male,Tier 1,Hybrid
